Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
8318348-68.2025.8.20.5595,RN,Não reconhece operação,Genérico,Êxito,Improcedência,17365.81,0.0,1,1,0,1,1,1
8923705-30.2025.8.23.8447,RR,Não reconhece operação,Golpe,Êxito,Extinção,21471.02,0.0,1,1,1,0,1,1
4109620-41.2025.8.14.2765,PA,Não reconhece operação,Golpe,Não Êxito,Procedência,14710.41,9664.89,1,0,1,1,1,1
4688640-59.2025.8.03.9877,AP,Não reconhece operação,Genérico,Êxito,Extinção,6493.86,0.0,1,1,0,1,1,1
1657668-87.2025.8.21.3814,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14650.2,11751.22,0,1,1,1,1,0
6847548-73.2025.8.11.3302,MT,Não reconhece operação,Golpe,Êxito,Extinção,15416.21,0.0,1,1,0,1,1,1
6513425-31.2025.8.14.1325,PA,Não reconhece operação,Golpe,Êxito,Extinção,17524.89,0.0,1,1,0,1,0,1
1028007-44.2025.8.13.2314,MG,Não reconhece operação,Golpe,Êxito,Improcedência,7461.57,0.0,1,1,0,0,1,0
1916267-47.2025.8.05.1774,BA,Não reconhece operação,Genérico,Êxito,Improcedência,13451.04,0.0,0,1,1,1,0,1
8194360-70.2025.8.26.8627,SP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,19241.84,7866.89,0,1,1,1,1,1
3426600-88.2025.8.23.1398,RR,Não reconhece operação,Genérico,Não Êxito,Procedência,14471.46,7245.04,0,1,0,1,1,0
5651738-86.2025.8.16.5338,PR,Não reconhece operação,Golpe,Êxito,Improcedência,13482.0,0.0,1,1,1,1,1,1
1263284-58.2025.8.13.1861,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,24336.22,11307.88,0,1,0,0,1,1
5086290-93.2025.8.21.3614,RS,Não reconhece operação,Golpe,Êxito,Improcedência,9731.86,0.0,1,1,0,1,1,1
6393722-78.2025.8.15.5780,PB,Não reconhece operação,Golpe,Êxito,Improcedência,21033.08,0.0,1,1,1,1,1,1
8167812-98.2025.8.12.6782,MS,Não reconhece operação,Golpe,Êxito,Improcedência,19993.3,0.0,1,1,1,1,1,1
7795288-37.2025.8.11.3255,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13877.34,8785.75,0,1,0,0,1,1
7898683-24.2025.8.07.6613,DF,Não reconhece operação,Golpe,Êxito,Extinção,14820.8,0.0,1,1,1,1,1,0
4213573-52.2025.8.04.2916,AM,Não reconhece operação,Golpe,Êxito,Extinção,14803.3,0.0,1,1,1,1,0,1
7294702-39.2025.8.15.5181,PB,Não reconhece operação,Genérico,Êxito,Extinção,15874.98,0.0,1,1,0,0,0,1
2226366-15.2025.8.24.5137,SC,Não reconhece operação,Golpe,Êxito,Extinção,12064.88,0.0,1,1,1,1,1,0
9661369-41.2025.8.02.6766,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,12881.34,3301.29,1,0,1,1,1,0
8329947-36.2025.8.24.3169,SC,Não reconhece operação,Genérico,Êxito,Improcedência,13239.16,0.0,1,1,0,0,1,1
1294998-90.2025.8.21.3842,RS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,13395.82,7424.09,0,0,0,0,0,1
4498464-48.2025.8.08.7294,ES,Não reconhece operação,Genérico,Êxito,Extinção,13457.36,0.0,1,1,1,1,1,1
9819576-50.2025.8.16.3879,PR,Não reconhece operação,Golpe,Êxito,Improcedência,3986.83,0.0,1,1,0,0,1,1
3278571-29.2025.8.05.4975,BA,Não reconhece operação,Genérico,Êxito,Improcedência,15461.34,0.0,1,0,0,1,0,1
9644924-65.2025.8.22.7402,RO,Não reconhece operação,Golpe,Êxito,Extinção,12394.0,0.0,1,1,1,0,1,1
5573212-77.2025.8.19.3419,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,5822.06,0.0,0,1,1,1,1,1
3240296-34.2025.8.10.0317,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13264.55,11724.09,1,0,0,1,0,1
4914970-97.2025.8.02.4495,AL,Não reconhece operação,Golpe,Êxito,Extinção,13112.9,0.0,1,1,1,1,0,1
2066749-93.2025.8.27.6454,TO,Não reconhece operação,Golpe,Êxito,Extinção,21239.61,0.0,1,1,0,0,1,0
8830553-13.2025.8.11.6185,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12336.28,4537.92,0,1,1,0,1,1
7824060-91.2025.8.25.6836,SE,Não reconhece operação,Genérico,Êxito,Extinção,18258.93,0.0,1,1,1,1,1,1
2301779-16.2025.8.19.3456,RJ,Não reconhece operação,Golpe,Êxito,Extinção,21767.43,0.0,0,1,1,1,1,1
3339736-23.2025.8.23.8489,RR,Não reconhece operação,Golpe,Êxito,Extinção,11900.36,0.0,1,1,1,1,1,1
5234208-17.2025.8.22.3993,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14749.13,9604.49,1,0,0,1,1,1
3219250-82.2025.8.06.4813,CE,Não reconhece operação,Golpe,Êxito,Improcedência,23464.6,0.0,1,1,1,0,1,1
8372385-20.2025.8.10.7375,MA,Não reconhece operação,Golpe,Êxito,Improcedência,16105.74,0.0,1,1,0,1,1,1
1896424-63.2025.8.11.2807,MT,Não reconhece operação,Golpe,Êxito,Improcedência,16816.12,0.0,1,1,1,0,0,1
1583743-92.2025.8.14.5418,PA,Não reconhece operação,Golpe,Êxito,Extinção,12983.86,0.0,1,1,0,0,0,1
2764561-91.2025.8.02.6150,AL,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,18353.44,8844.35,0,0,0,1,1,1
4487427-84.2025.8.15.6217,PB,Não reconhece operação,Genérico,Êxito,Extinção,14787.67,0.0,0,1,1,1,1,1
1535815-88.2025.8.05.9815,BA,Não reconhece operação,Golpe,Êxito,Improcedência,5992.36,0.0,0,1,1,0,1,0
3694202-32.2025.8.22.5056,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13239.13,7557.9,1,0,0,0,1,0
8187150-11.2025.8.19.9890,RJ,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,9176.53,4117.88,1,0,0,0,1,1
9598671-29.2025.8.25.2040,SE,Não reconhece operação,Genérico,Não Êxito,Procedência,15532.94,5950.81,0,0,1,1,1,1
1681801-75.2025.8.22.8172,RO,Não reconhece operação,Golpe,Êxito,Extinção,10483.41,0.0,1,1,1,1,1,1
8343615-91.2025.8.10.5401,MA,Não reconhece operação,Genérico,Êxito,Extinção,17328.29,0.0,1,1,0,0,1,1
8012682-87.2025.8.27.6267,TO,Não reconhece operação,Genérico,Não Êxito,Acordo,15201.84,5271.84,0,1,1,1,1,1
7967305-77.2025.8.12.2282,MS,Não reconhece operação,Genérico,Êxito,Improcedência,8858.42,0.0,1,1,0,1,0,1
6892097-20.2025.8.09.4849,GO,Não reconhece operação,Golpe,Êxito,Extinção,12565.39,0.0,1,0,1,0,1,1
5525355-41.2025.8.25.4828,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,18027.19,10599.36,0,1,1,1,1,0
9855353-90.2025.8.13.9745,MG,Não reconhece operação,Golpe,Êxito,Improcedência,20615.21,0.0,1,1,0,1,1,1
2037009-89.2025.8.04.7692,AM,Não reconhece operação,Golpe,Êxito,Extinção,10554.16,0.0,1,0,1,1,0,0
5828034-30.2025.8.11.5643,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9597.23,5278.53,1,0,0,0,1,0
5517289-14.2025.8.23.6117,RR,Não reconhece operação,Golpe,Êxito,Improcedência,24555.36,0.0,1,1,1,1,1,0
6547458-12.2025.8.06.4066,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14934.26,12552.72,0,0,1,1,1,1
2372828-59.2025.8.11.3755,MT,Não reconhece operação,Golpe,Êxito,Improcedência,15431.02,0.0,1,1,1,0,1,0
7319914-16.2025.8.03.8834,AP,Não reconhece operação,Genérico,Êxito,Improcedência,11354.12,0.0,1,1,1,1,1,1
3373867-74.2025.8.19.3718,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16038.24,11487.79,0,1,0,1,0,0
9104776-64.2025.8.11.7080,MT,Não reconhece operação,Golpe,Êxito,Extinção,23397.89,0.0,1,0,0,0,1,1
7449638-70.2025.8.09.5538,GO,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,16230.32,10771.42,0,0,0,1,1,1
5714310-12.2025.8.07.3499,DF,Não reconhece operação,Genérico,Êxito,Improcedência,20207.79,0.0,1,1,1,0,1,1
2964903-82.2025.8.17.7143,PE,Não reconhece operação,Genérico,Êxito,Extinção,15124.41,0.0,1,1,1,0,1,1
3770531-27.2025.8.19.3049,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,9948.74,0.0,1,1,1,1,1,1
4223378-92.2025.8.26.0818,SP,Não reconhece operação,Genérico,Êxito,Extinção,11629.66,0.0,1,1,0,1,0,1
1999713-74.2025.8.12.5042,MS,Não reconhece operação,Golpe,Não Êxito,Procedência,9497.32,5692.19,0,0,1,1,0,1
6723618-35.2025.8.05.3643,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16050.84,13058.57,0,1,1,1,1,1
6911739-23.2025.8.21.4297,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20987.62,10955.59,0,1,1,1,0,1
1062943-59.2025.8.16.9405,PR,Não reconhece operação,Golpe,Êxito,Extinção,15772.25,0.0,1,1,1,1,0,1
9000094-32.2025.8.19.1241,RJ,Não reconhece operação,Genérico,Não Êxito,Procedência,13471.96,13471.96,0,1,0,0,1,1
4218989-34.2025.8.04.1964,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11107.56,8000.5,1,1,0,1,1,1
9976056-81.2025.8.09.7866,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,16726.31,5436.06,0,0,0,0,0,1
9264632-84.2025.8.22.2013,RO,Não reconhece operação,Golpe,Êxito,Improcedência,8906.88,0.0,1,1,1,1,0,1
8224636-50.2025.8.21.1142,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9417.34,4375.72,0,1,1,1,1,1
2175828-37.2025.8.12.1578,MS,Não reconhece operação,Golpe,Êxito,Extinção,19399.15,0.0,1,1,1,1,0,1
9316264-50.2025.8.23.9690,RR,Não reconhece operação,Golpe,Êxito,Extinção,13619.39,0.0,1,0,0,1,1,0
6663754-52.2025.8.21.7748,RS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,13522.63,8061.62,0,0,0,1,1,1
5968100-46.2025.8.13.4751,MG,Não reconhece operação,Golpe,Êxito,Extinção,14152.61,0.0,1,1,1,1,1,1
8232968-21.2025.8.25.8739,SE,Não reconhece operação,Genérico,Êxito,Improcedência,18543.92,0.0,1,1,0,0,1,1
2800226-26.2025.8.08.5291,ES,Não reconhece operação,Golpe,Não Êxito,Procedência,15794.29,9805.49,0,0,1,1,1,0
7317863-33.2025.8.07.1220,DF,Não reconhece operação,Golpe,Êxito,Improcedência,11336.01,0.0,1,1,1,1,1,1
1779470-66.2025.8.19.8733,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,11512.61,0.0,1,1,1,0,1,1
9443349-47.2025.8.16.9041,PR,Não reconhece operação,Genérico,Êxito,Improcedência,14024.82,0.0,1,1,1,1,0,1
7686124-14.2025.8.03.0444,AP,Não reconhece operação,Golpe,Êxito,Improcedência,16465.14,0.0,1,1,0,1,1,1
1299294-19.2025.8.21.9266,RS,Não reconhece operação,Genérico,Êxito,Improcedência,14807.95,0.0,1,0,0,1,1,1
6954022-54.2025.8.06.4523,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14371.34,9852.29,0,0,0,1,1,0
5508865-45.2025.8.23.4358,RR,Não reconhece operação,Golpe,Êxito,Improcedência,15209.3,0.0,0,1,0,1,1,0
7367688-29.2025.8.01.6310,AC,Não reconhece operação,Genérico,Êxito,Improcedência,14804.45,0.0,1,1,0,1,1,1
7189464-20.2025.8.23.3119,RR,Não reconhece operação,Golpe,Êxito,Improcedência,11152.98,0.0,1,0,1,1,1,1
7142653-20.2025.8.23.1608,RR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20414.31,17866.89,1,0,1,1,1,1
6026787-78.2025.8.23.6549,RR,Não reconhece operação,Genérico,Não Êxito,Procedência,12615.57,10198.97,0,1,1,1,0,0
3858371-91.2025.8.16.6533,PR,Não reconhece operação,Golpe,Êxito,Extinção,15616.26,0.0,1,1,0,0,1,0
4226416-19.2025.8.11.5291,MT,Não reconhece operação,Golpe,Êxito,Improcedência,4872.47,0.0,1,1,0,1,1,1
3650082-22.2025.8.20.7141,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13926.37,7933.1,0,0,0,1,0,1
3029628-50.2025.8.08.0056,ES,Não reconhece operação,Golpe,Êxito,Extinção,9586.69,0.0,0,1,1,0,1,1
3329006-34.2025.8.23.2527,RR,Não reconhece operação,Genérico,Êxito,Improcedência,10178.29,0.0,1,1,1,1,1,0
7807694-19.2025.8.17.3485,PE,Não reconhece operação,Genérico,Êxito,Improcedência,26867.46,0.0,1,1,0,1,1,1
6136188-18.2025.8.11.9652,MT,Não reconhece operação,Golpe,Êxito,Improcedência,16206.58,0.0,1,1,1,1,1,1
4782065-64.2025.8.14.6910,PA,Não reconhece operação,Genérico,Êxito,Extinção,20998.08,0.0,1,1,1,0,1,1
8926099-45.2025.8.17.9250,PE,Não reconhece operação,Golpe,Êxito,Improcedência,19179.03,0.0,1,1,1,1,0,1
3550688-44.2025.8.02.0804,AL,Não reconhece operação,Golpe,Êxito,Extinção,19806.8,0.0,1,1,1,1,1,0
4021518-95.2025.8.03.4397,AP,Não reconhece operação,Golpe,Êxito,Improcedência,14005.38,0.0,1,1,0,0,0,1
1106231-11.2025.8.07.1176,DF,Não reconhece operação,Genérico,Êxito,Improcedência,22864.54,0.0,1,1,0,1,1,1
7238834-29.2025.8.03.2420,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19136.75,9139.24,1,0,0,0,0,1
7116435-77.2025.8.12.0406,MS,Não reconhece operação,Golpe,Êxito,Improcedência,15185.02,0.0,1,1,1,1,1,1
6737005-48.2025.8.19.5155,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16274.11,13751.71,0,1,1,1,1,1
7246877-38.2025.8.16.1335,PR,Não reconhece operação,Genérico,Êxito,Extinção,14311.27,0.0,1,1,0,0,1,0
8553450-67.2025.8.11.6522,MT,Não reconhece operação,Golpe,Êxito,Improcedência,15238.52,0.0,0,1,1,0,1,1
1970983-51.2025.8.24.4453,SC,Não reconhece operação,Golpe,Êxito,Improcedência,14768.25,0.0,1,1,1,1,1,1
2774197-65.2025.8.17.0052,PE,Não reconhece operação,Genérico,Êxito,Improcedência,16854.32,0.0,1,1,0,1,1,1
3266540-56.2025.8.04.6341,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,23519.96,17138.24,0,0,1,0,1,1
2235379-20.2025.8.22.2929,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9068.4,5788.28,1,0,1,1,1,0
7723303-43.2025.8.17.1758,PE,Não reconhece operação,Golpe,Êxito,Improcedência,20587.54,0.0,1,1,0,0,1,1
1195508-64.2025.8.16.9533,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13175.33,11277.68,1,0,0,1,1,1
2974250-84.2025.8.17.9824,PE,Não reconhece operação,Golpe,Êxito,Improcedência,21212.22,0.0,1,1,1,1,1,1
9326416-75.2025.8.15.0529,PB,Não reconhece operação,Genérico,Êxito,Improcedência,13346.03,0.0,1,1,1,0,1,0
5115550-52.2025.8.04.6201,AM,Não reconhece operação,Golpe,Êxito,Improcedência,17007.51,0.0,1,0,0,0,1,1
3723179-39.2025.8.17.0808,PE,Não reconhece operação,Golpe,Êxito,Extinção,14202.77,0.0,1,1,0,1,1,1
5281495-78.2025.8.23.8014,RR,Não reconhece operação,Genérico,Êxito,Improcedência,6490.46,0.0,1,1,0,0,1,1
2899160-70.2025.8.09.4572,GO,Não reconhece operação,Golpe,Êxito,Improcedência,23515.07,0.0,1,1,1,1,1,0
7699040-40.2025.8.18.2753,PI,Não reconhece operação,Golpe,Êxito,Improcedência,10356.26,0.0,1,1,0,1,0,1
4239321-80.2025.8.01.2457,AC,Não reconhece operação,Genérico,Não Êxito,Procedência,15393.79,11621.82,1,0,0,1,0,0
6559137-69.2025.8.10.5339,MA,Não reconhece operação,Golpe,Êxito,Extinção,9818.13,0.0,1,1,1,0,1,1
1276155-36.2025.8.12.3658,MS,Não reconhece operação,Genérico,Êxito,Extinção,8421.74,0.0,1,1,1,1,1,1
7148360-47.2025.8.27.7123,TO,Não reconhece operação,Genérico,Êxito,Improcedência,13976.59,0.0,1,1,0,1,1,1
1631522-98.2025.8.06.2473,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12069.93,8957.76,1,0,0,0,1,1
7476652-21.2025.8.08.3782,ES,Não reconhece operação,Golpe,Êxito,Improcedência,9247.01,0.0,1,1,0,1,1,1
2794135-53.2025.8.12.0664,MS,Não reconhece operação,Golpe,Êxito,Improcedência,14808.33,0.0,1,1,0,1,1,1
6035115-38.2025.8.27.3454,TO,Não reconhece operação,Golpe,Êxito,Extinção,7710.72,0.0,1,1,0,1,1,1
7977811-44.2025.8.24.2770,SC,Não reconhece operação,Golpe,Êxito,Extinção,15597.87,0.0,0,1,1,0,1,1
5859207-10.2025.8.01.9908,AC,Não reconhece operação,Golpe,Êxito,Improcedência,14357.42,0.0,0,1,1,1,1,0
8872280-67.2025.8.07.2318,DF,Não reconhece operação,Genérico,Êxito,Improcedência,2811.25,0.0,1,1,0,0,1,1
3624362-25.2025.8.21.3972,RS,Não reconhece operação,Genérico,Êxito,Improcedência,12415.38,0.0,1,1,1,1,0,1
6471935-39.2025.8.02.6727,AL,Não reconhece operação,Genérico,Êxito,Improcedência,17280.6,0.0,1,1,1,1,0,1
8889367-37.2025.8.24.4231,SC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9763.55,6762.56,0,0,0,0,1,1
8167283-76.2025.8.08.8843,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17493.47,8828.54,0,1,1,1,0,1
6376726-46.2025.8.25.9018,SE,Não reconhece operação,Golpe,Êxito,Extinção,17105.28,0.0,1,1,0,1,0,1
7536120-20.2025.8.08.3101,ES,Não reconhece operação,Golpe,Êxito,Improcedência,9988.4,0.0,1,1,1,1,1,0
5146604-95.2025.8.12.6323,MS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14921.93,5673.99,1,1,1,1,1,1
8277298-14.2025.8.16.2591,PR,Não reconhece operação,Golpe,Êxito,Improcedência,19030.29,0.0,0,1,1,1,0,1
2474257-82.2025.8.03.7711,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10681.73,10681.73,0,1,0,0,1,1
2686697-56.2025.8.17.0186,PE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,13972.31,8851.0,1,1,0,1,1,1
7832410-19.2025.8.14.2005,PA,Não reconhece operação,Golpe,Êxito,Improcedência,20626.23,0.0,1,1,1,1,1,1
7413498-68.2025.8.23.2296,RR,Não reconhece operação,Golpe,Êxito,Improcedência,10773.93,0.0,1,1,1,1,1,1
8252184-55.2025.8.27.4877,TO,Não reconhece operação,Golpe,Êxito,Extinção,17235.21,0.0,1,1,1,1,1,1
6136092-95.2025.8.16.1579,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9686.78,7849.11,0,0,0,1,0,0
7591856-20.2025.8.12.6615,MS,Não reconhece operação,Genérico,Êxito,Improcedência,14192.38,0.0,1,1,0,0,1,1
9038526-79.2025.8.13.5125,MG,Não reconhece operação,Golpe,Não Êxito,Procedência,17174.21,10448.02,1,0,0,1,1,1
6803873-42.2025.8.12.7746,MS,Não reconhece operação,Genérico,Êxito,Extinção,3183.57,0.0,1,1,1,0,1,1
6916142-13.2025.8.23.7093,RR,Não reconhece operação,Genérico,Êxito,Extinção,12360.36,0.0,1,1,0,1,1,1
4252288-65.2025.8.09.9159,GO,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,17088.85,6639.79,0,1,1,1,1,0
7099543-27.2025.8.05.6974,BA,Não reconhece operação,Golpe,Êxito,Improcedência,16090.37,0.0,1,1,1,0,1,1
1420431-65.2025.8.10.4074,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12418.97,8004.7,0,1,1,1,1,1
2056651-45.2025.8.01.4530,AC,Não reconhece operação,Genérico,Êxito,Extinção,9562.19,0.0,1,1,1,0,1,1
3750754-25.2025.8.04.1237,AM,Não reconhece operação,Golpe,Êxito,Improcedência,18065.97,0.0,1,0,1,0,0,1
7830240-55.2025.8.04.8220,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13400.2,8467.29,1,1,0,0,0,1
4696160-26.2025.8.22.5137,RO,Não reconhece operação,Genérico,Êxito,Extinção,17658.12,0.0,1,0,1,1,1,0
6703015-28.2025.8.20.4275,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16847.89,13510.28,1,1,0,1,1,1
7225689-79.2025.8.19.9127,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,12786.78,0.0,1,1,0,1,1,1
7193533-85.2025.8.11.4234,MT,Não reconhece operação,Genérico,Êxito,Extinção,20245.08,0.0,1,1,1,0,0,1
5229081-47.2025.8.20.2596,RN,Não reconhece operação,Genérico,Êxito,Improcedência,12066.17,0.0,1,1,1,1,0,1
8354449-68.2025.8.05.7000,BA,Não reconhece operação,Golpe,Êxito,Extinção,20823.56,0.0,1,0,0,1,1,1
1113995-72.2025.8.25.6669,SE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,21465.56,16512.88,1,0,1,1,0,1
2452340-48.2025.8.14.0528,PA,Não reconhece operação,Golpe,Êxito,Improcedência,20134.93,0.0,0,0,1,1,1,1
8341751-58.2025.8.26.2921,SP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14096.21,10463.34,0,0,1,1,1,1
9723102-72.2025.8.05.2372,BA,Não reconhece operação,Genérico,Êxito,Improcedência,27480.29,0.0,1,1,0,1,1,0
3676988-62.2025.8.14.4383,PA,Não reconhece operação,Genérico,Êxito,Improcedência,15727.27,0.0,0,1,0,1,1,1
5302187-30.2025.8.19.4864,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,16165.02,13085.28,0,0,0,0,1,1
9829745-27.2025.8.14.9447,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14873.94,8496.5,0,1,0,1,1,1
2191840-91.2025.8.11.5350,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9438.61,5717.25,1,0,1,1,0,1
5449025-80.2025.8.05.8394,BA,Não reconhece operação,Golpe,Êxito,Improcedência,21336.91,0.0,1,1,0,1,0,1
1139874-43.2025.8.13.4758,MG,Não reconhece operação,Golpe,Êxito,Improcedência,12173.5,0.0,1,1,0,1,1,1
5397149-46.2025.8.07.1232,DF,Não reconhece operação,Golpe,Êxito,Improcedência,19494.57,0.0,0,1,1,1,1,1
4338849-79.2025.8.09.5024,GO,Não reconhece operação,Golpe,Êxito,Extinção,20671.93,0.0,0,1,0,1,1,1
3397259-57.2025.8.19.7861,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,17942.59,0.0,1,1,0,1,1,1
5051540-25.2025.8.16.8324,PR,Não reconhece operação,Genérico,Êxito,Extinção,11586.81,0.0,1,1,1,1,0,0
7405327-43.2025.8.18.5502,PI,Não reconhece operação,Golpe,Êxito,Improcedência,13308.58,0.0,0,1,1,1,1,1
7811312-21.2025.8.10.8181,MA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,1846.22,508.04,0,1,1,1,1,1
5096005-23.2025.8.26.8421,SP,Não reconhece operação,Golpe,Êxito,Improcedência,14410.71,0.0,1,1,0,1,0,1
5071522-64.2025.8.04.1928,AM,Não reconhece operação,Golpe,Êxito,Extinção,18920.96,0.0,1,1,1,1,1,1
7750782-21.2025.8.10.3376,MA,Não reconhece operação,Golpe,Êxito,Improcedência,13816.79,0.0,1,1,1,1,1,1
3337672-17.2025.8.03.9141,AP,Não reconhece operação,Genérico,Êxito,Extinção,12086.77,0.0,1,0,1,1,1,1
2951337-12.2025.8.10.3582,MA,Não reconhece operação,Genérico,Êxito,Improcedência,13521.2,0.0,1,1,0,1,0,1
5456420-10.2025.8.26.1648,SP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,20945.79,13349.3,0,1,0,1,0,1
9332912-74.2025.8.10.5504,MA,Não reconhece operação,Genérico,Êxito,Improcedência,14715.43,0.0,0,1,0,0,1,1
4448157-41.2025.8.25.0978,SE,Não reconhece operação,Genérico,Êxito,Improcedência,24098.68,0.0,1,1,1,1,1,1
4020265-51.2025.8.14.4571,PA,Não reconhece operação,Golpe,Êxito,Improcedência,12181.7,0.0,1,1,1,1,1,1
7662799-58.2025.8.19.1057,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,16048.11,0.0,1,1,0,1,1,1
5837454-37.2025.8.11.3387,MT,Não reconhece operação,Golpe,Êxito,Extinção,12855.56,0.0,1,1,1,1,1,1
4863559-14.2025.8.08.4485,ES,Não reconhece operação,Genérico,Êxito,Extinção,25161.36,0.0,1,1,1,0,1,1
7994826-52.2025.8.22.0832,RO,Não reconhece operação,Golpe,Não Êxito,Procedência,15863.98,15863.98,1,1,0,1,1,1
9717693-78.2025.8.27.9404,TO,Não reconhece operação,Golpe,Êxito,Improcedência,25424.31,0.0,1,1,1,1,1,0
