numero,uf,sub_assunto,valor_causa,contrato,extrato,comprovante_credito,dossie,demonstrativo_divida,laudo_referenciado,escritorio
0029004-78.2025.8.26.0205,SP,Genérico,11533.43,1,0,1,0,1,1,Escritório A
0029838-76.2025.8.17.0126,PE,Golpe,27220.24,1,0,1,0,0,0,Escritório B
0029901-06.2025.8.20.0066,RN,Golpe,8258.98,1,1,1,1,1,1,Escritório C
0030306-10.2025.8.19.0118,RJ,Genérico,18394.26,1,1,1,1,1,1,Escritório A
0031074-29.2025.8.27.0209,TO,Genérico,12771.73,0,1,0,1,1,0,Escritório B
0031553-23.2025.8.20.0013,RN,Golpe,28043.12,1,1,1,0,1,1,Escritório C
0031700-46.2025.8.02.0176,AL,Golpe,22220.27,1,1,1,1,1,1,Escritório A
0032054-40.2025.8.07.0206,DF,Golpe,10124.41,1,1,1,1,1,1,Escritório B
0032253-19.2025.8.11.0249,MT,Golpe,11134.85,1,0,0,0,0,1,Escritório C
0032616-71.2025.8.02.0082,AL,Golpe,9362.75,1,1,0,0,1,1,Escritório A
0033366-28.2025.8.17.0059,PE,Genérico,10197.69,1,1,1,1,1,1,Escritório B
0033824-92.2025.8.26.0221,SP,Golpe,15893.19,1,1,1,1,1,1,Escritório C
0034289-24.2025.8.24.0006,SC,Golpe,14875.11,1,1,1,0,1,1,Escritório A
0035125-38.2025.8.17.0023,PE,Golpe,24086.1,1,1,1,0,0,1,Escritório B
0035171-36.2025.8.05.0128,BA,Golpe,15027.6,1,1,1,1,1,1,Escritório C
0035343-60.2025.8.19.0007,RJ,Golpe,12059.93,1,0,0,1,1,0,Escritório A
0035987-48.2025.8.17.0107,PE,Golpe,24664.19,0,0,0,0,1,1,Escritório B
0036577-19.2025.8.27.0019,TO,Golpe,18830.7,1,1,1,1,1,1,Escritório C
0037078-62.2025.8.17.0047,PE,Genérico,12681.88,0,0,1,0,1,1,Escritório A
0037803-36.2025.8.20.0219,RN,Golpe,21174.94,0,1,0,0,0,1,Escritório B
0038095-35.2025.8.20.0279,RN,Golpe,10437.6,1,1,1,1,1,1,Escritório C
0038213-22.2025.8.25.0295,SE,Genérico,3868.89,1,1,1,1,0,1,Escritório A
0038838-89.2025.8.04.0085,AM,Golpe,15183.47,1,1,1,1,1,1,Escritório B
0039134-06.2025.8.20.0073,RN,Golpe,10867.97,0,1,1,0,1,0,Escritório C
0039413-10.2025.8.09.0166,GO,Genérico,27098.32,1,1,1,1,1,1,Escritório A
0039891-66.2025.8.21.0042,RS,Golpe,21362.23,1,1,0,1,0,0,Escritório B
0040739-38.2025.8.13.0119,MG,Genérico,19630.6,0,0,0,0,1,1,Escritório C
0041098-05.2025.8.11.0196,MT,Golpe,13309.99,1,0,1,1,0,1,Escritório A
0041475-84.2025.8.13.0239,MG,Golpe,31000,1,1,0,0,1,0,Escritório B
0041844-43.2025.8.17.0150,PE,Golpe,16069.59,1,1,0,0,1,1,Escritório C
0042493-02.2025.8.18.0143,PI,Golpe,10781.46,1,1,1,0,1,0,Escritório A
0043083-79.2025.8.02.0092,AL,Golpe,21204.21,1,1,1,0,0,0,Escritório B
0043889-26.2025.8.16.0157,PR,Golpe,13780.95,1,1,1,1,1,1,Escritório C
0044733-44.2025.8.25.0021,SE,Golpe,15433.69,1,0,0,1,0,1,Escritório A
0045075-53.2025.8.04.0243,AM,Genérico,7104.85,1,1,1,1,1,1,Escritório B
0045156-85.2025.8.13.0199,MG,Genérico,14758.03,0,1,1,0,0,0,Escritório C
0045175-86.2025.8.26.0019,SP,Golpe,13324.82,0,1,0,0,0,0,Escritório A
0045710-29.2025.8.25.0088,SE,Golpe,9092.75,1,0,0,0,1,0,Escritório B
0046326-50.2025.8.26.0290,SP,Golpe,18529.45,0,0,0,0,0,0,Escritório C
0046650-76.2025.8.18.0253,PI,Golpe,14448.69,1,0,0,0,0,0,Escritório A
0047406-37.2025.8.21.0242,RS,Golpe,8726.1,1,0,1,1,1,0,Escritório B
0047908-39.2025.8.15.0081,PB,Golpe,12696.49,1,0,1,0,0,0,Escritório C
0048602-30.2025.8.11.0045,MT,Genérico,14603.9,1,0,1,0,0,0,Escritório A
0049001-06.2025.8.08.0025,ES,Genérico,6789.83,1,1,0,1,1,1,Escritório B
0049298-92.2025.8.15.0065,PB,Genérico,9922.0,1,1,1,0,0,1,Escritório C
0049731-09.2025.8.14.0200,PA,Golpe,16763.2,1,1,1,1,1,0,Escritório A
0050157-27.2025.8.18.0259,PI,Golpe,13668.86,1,1,1,1,1,1,Escritório B
0050853-72.2025.8.22.0220,RO,Golpe,11043.45,0,0,0,1,0,1,Escritório C
0051526-09.2025.8.03.0248,AP,Golpe,17483.31,0,1,0,0,0,0,Escritório A
0051666-97.2025.8.22.0156,RO,Genérico,10345.12,1,1,0,0,0,1,Escritório B
0052278-48.2025.8.25.0254,SE,Genérico,12349.14,1,1,0,1,0,1,Escritório C
0052891-48.2025.8.14.0295,PA,Golpe,13279.48,1,0,0,1,1,0,Escritório A
0053654-66.2025.8.06.0135,CE,Golpe,16687.8,1,1,0,1,0,0,Escritório B
0054459-42.2025.8.08.0174,ES,Golpe,4091.12,1,1,1,0,1,1,Escritório C
0055102-12.2025.8.01.0233,AC,Golpe,23580.49,1,1,0,1,0,0,Escritório A
0055186-05.2025.8.02.0065,AL,Golpe,25605.87,1,1,1,1,1,0,Escritório B
0055380-05.2025.8.27.0228,TO,Golpe,8163.58,1,1,1,1,1,0,Escritório C
0055719-98.2025.8.21.0011,RS,Genérico,13760.11,0,0,0,0,0,0,Escritório A
0055932-65.2025.8.14.0087,PA,Golpe,19682.24,0,0,0,0,1,0,Escritório B
0056096-54.2025.8.05.0063,BA,Golpe,20660.32,1,1,0,1,0,1,Escritório C
0056709-32.2025.8.05.0174,BA,Genérico,14392.54,0,1,0,0,0,0,Escritório A
0057422-38.2025.8.23.0131,RR,Golpe,18477.83,1,1,0,0,1,0,Escritório B
0057692-20.2025.8.01.0246,AC,Golpe,15299.78,1,1,1,0,1,0,Escritório C
0057753-68.2025.8.01.0022,AC,Golpe,10650.46,1,1,1,1,1,0,Escritório A
0057815-70.2025.8.02.0058,AL,Golpe,21081.98,1,1,1,1,0,1,Escritório B
0058142-95.2025.8.01.0299,AC,Golpe,19611.05,1,1,1,1,0,1,Escritório C
0058718-28.2025.8.19.0060,RJ,Genérico,14671.04,1,1,1,1,1,0,Escritório A
0059087-17.2025.8.13.0051,MG,Genérico,13447.16,1,1,1,1,0,1,Escritório B
0059863-09.2025.8.02.0282,AL,Genérico,11232.75,1,1,0,1,1,0,Escritório C
0060056-62.2025.8.02.0140,AL,Golpe,12056.41,1,0,1,0,1,1,Escritório A
0060570-61.2025.8.11.0173,MT,Genérico,23562.36,1,1,1,1,1,1,Escritório B
0061159-61.2025.8.04.0201,AM,Golpe,11162.27,0,0,1,1,1,1,Escritório C
0061419-26.2025.8.14.0213,PA,Genérico,31000,1,1,1,0,0,1,Escritório A
0061961-61.2025.8.23.0191,RR,Golpe,12070.6,1,1,1,0,0,1,Escritório B
0062558-47.2025.8.07.0006,DF,Golpe,19144.68,1,1,1,0,1,0,Escritório C
0062821-39.2025.8.14.0215,PA,Genérico,5131.66,1,1,1,1,1,1,Escritório A
0063606-46.2025.8.21.0040,RS,Golpe,10402.73,1,0,0,0,0,1,Escritório B
0064006-30.2025.8.18.0271,PI,Golpe,7760.24,1,0,0,0,1,1,Escritório C
0064166-57.2025.8.09.0125,GO,Golpe,15056.51,0,0,0,1,0,0,Escritório A
0064450-19.2025.8.22.0185,RO,Genérico,7456.93,1,1,1,1,1,1,Escritório B
0064621-65.2025.8.01.0021,AC,Golpe,9610.86,1,1,0,0,0,0,Escritório C
0065107-25.2025.8.05.0058,BA,Golpe,16365.07,1,1,0,0,1,0,Escritório A
0065473-64.2025.8.17.0144,PE,Golpe,11837.61,1,1,1,1,1,1,Escritório B
0065750-63.2025.8.22.0234,RO,Golpe,11593.62,1,1,1,0,1,1,Escritório C
0066476-68.2025.8.27.0017,TO,Golpe,13947.6,0,1,0,0,0,0,Escritório A
0067131-79.2025.8.08.0272,ES,Genérico,13165.79,1,1,1,1,1,0,Escritório B
0067310-28.2025.8.16.0292,PR,Genérico,18630.27,0,0,0,0,0,0,Escritório C
0067916-80.2025.8.27.0282,TO,Golpe,10339.73,0,0,0,0,0,0,Escritório A
0067990-47.2025.8.10.0076,MA,Genérico,11928.78,0,0,0,0,0,0,Escritório B
0068078-82.2025.8.03.0237,AP,Golpe,9937.26,0,0,0,1,0,0,Escritório C
0068788-83.2025.8.11.0139,MT,Genérico,10968.03,0,1,0,1,0,0,Escritório A
0069493-90.2025.8.10.0048,MA,Genérico,18710.59,1,0,0,1,0,0,Escritório B
0069637-84.2025.8.23.0086,RR,Golpe,20825.73,1,1,0,1,0,1,Escritório C
0069856-61.2025.8.14.0276,PA,Golpe,17899.0,1,1,1,1,1,0,Escritório A
0070571-04.2025.8.14.0212,PA,Golpe,20053.79,0,0,1,1,1,0,Escritório B
0070695-34.2025.8.13.0173,MG,Golpe,11036.25,0,0,0,0,0,0,Escritório C
0070955-08.2025.8.10.0105,MA,Genérico,5914.09,1,1,0,1,1,1,Escritório A
0071822-86.2025.8.08.0030,ES,Golpe,11062.4,1,1,1,1,0,0,Escritório B
0072139-24.2025.8.26.0082,SP,Genérico,17108.36,1,1,1,1,0,1,Escritório C
0072876-22.2025.8.13.0039,MG,Golpe,19344.05,1,1,1,1,1,1,Escritório A
0073726-08.2025.8.14.0182,PA,Golpe,13739.02,1,1,0,0,0,0,Escritório B
0074610-78.2025.8.07.0102,DF,Golpe,31000,1,1,1,1,1,0,Escritório C
0074754-48.2025.8.19.0254,RJ,Genérico,17028.38,0,0,0,1,1,0,Escritório A
0074908-35.2025.8.05.0164,BA,Genérico,31000,1,1,0,1,1,1,Escritório B
0075598-46.2025.8.04.0276,AM,Golpe,10771.14,0,1,0,1,0,1,Escritório C
0075747-36.2025.8.03.0190,AP,Golpe,12502.25,1,1,1,0,1,1,Escritório A
0075977-65.2025.8.12.0081,MS,Golpe,14803.25,1,1,1,1,1,0,Escritório B
0076411-65.2025.8.18.0088,PI,Golpe,16526.8,1,1,1,0,1,1,Escritório C
0077215-05.2025.8.12.0022,MS,Golpe,20177.4,0,0,0,0,0,0,Escritório A
0077768-35.2025.8.27.0216,TO,Golpe,13777.39,1,1,1,1,1,1,Escritório B
0078408-09.2025.8.12.0199,MS,Genérico,18133.47,0,1,1,1,0,1,Escritório C
0078619-06.2025.8.27.0077,TO,Golpe,18468.8,1,1,1,1,1,1,Escritório A
0078915-38.2025.8.15.0020,PB,Genérico,11810.45,1,0,1,1,0,1,Escritório B
0079508-46.2025.8.01.0250,AC,Genérico,14033.76,1,0,0,0,0,0,Escritório C
0079982-13.2025.8.22.0030,RO,Golpe,21855.03,1,0,1,0,1,1,Escritório A
0080802-98.2025.8.27.0254,TO,Genérico,25776.87,1,1,1,1,0,1,Escritório B
0080926-24.2025.8.05.0180,BA,Golpe,5802.96,0,1,0,1,1,0,Escritório C
0081758-66.2025.8.15.0087,PB,Golpe,26941.35,1,1,0,1,1,0,Escritório A
0082267-56.2025.8.12.0256,MS,Genérico,17739.6,1,1,1,0,0,0,Escritório B
0082426-61.2025.8.12.0300,MS,Golpe,19980.02,1,1,0,0,0,1,Escritório C
0083169-10.2025.8.16.0058,PR,Golpe,16192.12,1,1,0,0,0,1,Escritório A
0083359-84.2025.8.07.0102,DF,Golpe,10710.09,0,0,0,1,0,0,Escritório B
0083376-32.2025.8.25.0228,SE,Genérico,31000,1,0,1,0,0,0,Escritório C
0083750-06.2025.8.15.0138,PB,Golpe,17028.96,0,0,0,1,0,1,Escritório A
0083870-29.2025.8.15.0177,PB,Golpe,7067.18,0,1,1,1,0,0,Escritório B
0084400-56.2025.8.05.0033,BA,Golpe,13001.57,1,1,1,1,1,1,Escritório C
0084574-05.2025.8.16.0245,PR,Genérico,13769.15,1,1,0,0,0,0,Escritório A
0084657-82.2025.8.04.0074,AM,Golpe,6129.2,1,1,1,1,1,1,Escritório B
0085444-47.2025.8.01.0284,AC,Golpe,6196.04,1,1,1,1,1,1,Escritório C
0085534-90.2025.8.09.0168,GO,Golpe,12506.07,0,0,0,0,1,0,Escritório A
0086154-91.2025.8.12.0177,MS,Genérico,7219.12,1,0,1,0,0,1,Escritório B
0086230-80.2025.8.16.0088,PR,Genérico,11458.05,1,1,1,1,1,1,Escritório C
0086268-15.2025.8.27.0241,TO,Golpe,7723.7,1,1,1,1,1,0,Escritório A
0086713-62.2025.8.23.0235,RR,Genérico,13021.93,1,1,0,1,0,1,Escritório B
0087051-20.2025.8.18.0156,PI,Golpe,17925.37,1,1,1,1,1,1,Escritório C
0087157-91.2025.8.21.0222,RS,Golpe,11152.11,1,1,0,1,1,0,Escritório A
0087488-28.2025.8.07.0266,DF,Golpe,11930.24,1,1,0,1,0,1,Escritório B
0088187-72.2025.8.25.0054,SE,Golpe,26800.62,1,1,1,0,0,0,Escritório C
0088605-83.2025.8.17.0134,PE,Golpe,7594.01,1,1,0,0,1,1,Escritório A
0089344-62.2025.8.09.0204,GO,Genérico,18647.04,1,1,1,1,1,1,Escritório B
0089657-64.2025.8.15.0298,PB,Genérico,11336.44,1,1,0,1,1,0,Escritório C
0089748-09.2025.8.11.0059,MT,Golpe,8237.71,1,1,1,1,1,1,Escritório A
0089832-41.2025.8.22.0176,RO,Genérico,10443.27,1,1,1,0,1,1,Escritório B
0090475-68.2025.8.10.0261,MA,Golpe,6924.84,1,1,1,0,0,0,Escritório C
0091140-70.2025.8.19.0120,RJ,Genérico,25920.86,1,1,0,1,0,1,Escritório A
0091945-71.2025.8.18.0016,PI,Genérico,20451.64,1,1,1,1,1,1,Escritório B
0092282-36.2025.8.24.0164,SC,Golpe,4143.8,1,0,0,0,1,1,Escritório C
0092926-39.2025.8.12.0058,MS,Golpe,26994.9,1,1,0,1,0,1,Escritório A
0092983-39.2025.8.25.0044,SE,Golpe,17794.31,1,1,1,1,0,1,Escritório B
0093766-62.2025.8.20.0111,RN,Golpe,10286.34,1,1,1,1,0,1,Escritório C
0093854-50.2025.8.04.0013,AM,Golpe,12217.77,1,1,1,1,0,1,Escritório A
0094213-94.2025.8.09.0066,GO,Golpe,12659.19,1,1,1,1,0,0,Escritório B
0094500-18.2025.8.10.0264,MA,Golpe,16531.82,1,1,0,1,1,1,Escritório C
0094868-96.2025.8.11.0232,MT,Golpe,29198.41,1,1,1,1,1,1,Escritório A
0094976-80.2025.8.16.0105,PR,Genérico,18544.06,0,1,0,0,0,0,Escritório B
0095617-82.2025.8.09.0228,GO,Genérico,10986.37,1,1,1,1,1,1,Escritório C
0095859-14.2025.8.03.0291,AP,Golpe,11601.48,0,0,0,0,0,0,Escritório A
0095893-69.2025.8.18.0291,PI,Golpe,9850.87,1,1,1,0,1,1,Escritório B
0096455-53.2025.8.12.0127,MS,Golpe,12175.75,1,1,1,1,1,1,Escritório C
0097172-81.2025.8.14.0136,PA,Genérico,22716.4,1,1,0,1,1,1,Escritório A
0097177-84.2025.8.15.0101,PB,Golpe,9747.45,0,1,0,1,1,1,Escritório B
0097999-09.2025.8.08.0056,ES,Golpe,10126.89,1,1,1,1,1,1,Escritório C
0098340-03.2025.8.25.0140,SE,Golpe,20624.48,0,1,1,1,0,0,Escritório A
0098766-91.2025.8.09.0291,GO,Golpe,24082.44,0,1,1,1,0,0,Escritório B
0099001-21.2025.8.27.0012,TO,Golpe,5648.17,0,0,0,0,1,1,Escritório C
0099224-53.2025.8.15.0126,PB,Golpe,18696.31,1,1,1,1,0,1,Escritório A
0099550-08.2025.8.15.0160,PB,Golpe,26942.04,0,1,1,1,1,1,Escritório B
0100394-33.2025.8.06.0119,CE,Golpe,19601.3,1,1,1,0,1,1,Escritório C
0100651-16.2025.8.18.0219,PI,Genérico,10214.48,1,1,1,1,1,0,Escritório A
0101289-62.2025.8.27.0263,TO,Golpe,13284.81,1,1,0,0,0,0,Escritório B
0102088-84.2025.8.02.0010,AL,Golpe,14410.37,1,1,0,1,1,0,Escritório C
0102772-66.2025.8.21.0014,RS,Golpe,13042.9,1,1,1,1,1,1,Escritório A
0103508-59.2025.8.18.0211,PI,Genérico,13690.67,0,0,0,1,1,0,Escritório B
0103622-65.2025.8.16.0045,PR,Golpe,8563.71,1,1,0,1,0,0,Escritório C
0104380-38.2025.8.25.0257,SE,Genérico,27964.48,1,1,0,1,0,0,Escritório A
0105265-20.2025.8.03.0207,AP,Golpe,13253.36,1,1,1,1,0,0,Escritório B
0106044-81.2025.8.03.0107,AP,Genérico,12427.68,1,0,0,1,0,1,Escritório C
0106644-97.2025.8.06.0017,CE,Genérico,13775.7,1,1,1,1,1,1,Escritório A
0107100-53.2025.8.12.0155,MS,Golpe,31000,0,0,0,0,0,0,Escritório B
0107439-09.2025.8.12.0156,MS,Genérico,20640.69,0,0,0,0,0,0,Escritório C
0107807-24.2025.8.17.0109,PE,Genérico,18185.97,1,1,1,1,1,1,Escritório A
0108486-89.2025.8.04.0269,AM,Genérico,14016.52,1,1,0,0,0,0,Escritório B
0109330-12.2025.8.26.0177,SP,Genérico,8830.19,1,1,0,1,0,1,Escritório C
0109546-70.2025.8.26.0080,SP,Golpe,12588.59,0,0,1,0,0,0,Escritório A
0109783-77.2025.8.21.0037,RS,Golpe,31000,1,1,1,1,1,1,Escritório B
0109813-09.2025.8.11.0032,MT,Genérico,13305.56,1,0,1,1,0,0,Escritório C
0110190-25.2025.8.18.0051,PI,Golpe,27619.88,1,1,0,1,1,1,Escritório A
0110805-44.2025.8.12.0063,MS,Genérico,7629.52,1,1,0,1,1,1,Escritório B
0111015-25.2025.8.25.0034,SE,Golpe,21214.33,1,1,1,0,1,0,Escritório C
0111445-75.2025.8.19.0217,RJ,Golpe,27808.18,0,0,1,0,1,1,Escritório A
0112123-96.2025.8.12.0084,MS,Golpe,17334.46,1,0,0,0,1,0,Escritório B
0112403-27.2025.8.19.0099,RJ,Genérico,14311.86,1,1,1,1,1,0,Escritório C
0112909-39.2025.8.10.0265,MA,Golpe,11545.66,0,0,0,0,0,0,Escritório A
0113398-50.2025.8.25.0268,SE,Golpe,15248.36,1,1,0,1,1,0,Escritório B
0113666-12.2025.8.15.0130,PB,Golpe,9445.15,1,1,1,0,1,1,Escritório C
0114122-76.2025.8.24.0108,SC,Golpe,10451.57,1,0,1,1,0,1,Escritório A
0114301-77.2025.8.22.0136,RO,Golpe,11301.26,0,0,0,0,0,1,Escritório B
0114580-86.2025.8.05.0055,BA,Genérico,20249.12,1,1,1,0,1,0,Escritório C
0115002-38.2025.8.01.0228,AC,Golpe,13650.13,0,0,0,1,0,1,Escritório A
0115239-70.2025.8.04.0137,AM,Golpe,9507.08,0,0,0,0,1,0,Escritório B
0115933-91.2025.8.26.0148,SP,Genérico,13008.47,1,1,1,1,0,0,Escritório C
0116659-78.2025.8.07.0056,DF,Golpe,8275.83,1,1,1,1,1,1,Escritório A
0117375-42.2025.8.25.0206,SE,Golpe,18639.82,0,0,0,0,1,1,Escritório B
0117512-21.2025.8.05.0290,BA,Genérico,14693.75,1,1,1,1,1,1,Escritório C
0117758-20.2025.8.22.0039,RO,Golpe,17738.22,1,1,0,0,1,0,Escritório A
0117863-94.2025.8.24.0215,SC,Genérico,15935.7,1,1,1,1,1,1,Escritório B
0117921-05.2025.8.20.0217,RN,Golpe,19077.22,1,0,1,1,1,0,Escritório C
0118596-25.2025.8.11.0182,MT,Genérico,8014.99,1,1,1,0,1,0,Escritório A
0118900-83.2025.8.15.0191,PB,Golpe,16434.72,1,0,0,0,1,1,Escritório B
0118931-21.2025.8.15.0186,PB,Genérico,11549.8,1,1,1,1,1,0,Escritório C
0119119-41.2025.8.08.0143,ES,Golpe,15532.88,1,1,1,1,1,0,Escritório A
0119626-63.2025.8.23.0214,RR,Golpe,9578.64,1,1,1,0,0,0,Escritório B
0119777-63.2025.8.18.0280,PI,Golpe,18674.79,1,0,0,0,1,0,Escritório C
0120537-64.2025.8.12.0252,MS,Golpe,10995.18,1,1,0,0,0,0,Escritório A
0121398-21.2025.8.27.0062,TO,Genérico,12770.87,1,1,1,1,1,1,Escritório B
0121625-57.2025.8.11.0126,MT,Golpe,12105.16,1,1,0,0,0,1,Escritório C
0122294-39.2025.8.21.0092,RS,Genérico,18275.69,1,1,0,1,1,1,Escritório A
0122507-15.2025.8.01.0185,AC,Golpe,28743.73,1,1,0,1,0,0,Escritório B
0123261-92.2025.8.03.0025,AP,Golpe,17189.13,1,1,1,1,1,1,Escritório C
0123475-94.2025.8.05.0068,BA,Golpe,10208.28,1,1,0,1,1,1,Escritório A
0124130-65.2025.8.19.0201,RJ,Golpe,6658.68,1,1,0,1,1,1,Escritório B
0124808-71.2025.8.09.0294,GO,Golpe,14506.93,1,1,1,1,1,1,Escritório C
0124915-70.2025.8.24.0271,SC,Golpe,13693.9,1,1,1,0,0,1,Escritório A
0125587-33.2025.8.23.0004,RR,Golpe,10176.85,1,1,1,1,1,1,Escritório B
0126060-83.2025.8.21.0227,RS,Genérico,16677.92,1,1,1,0,0,0,Escritório C
0126773-21.2025.8.11.0200,MT,Golpe,10512.03,1,1,0,1,1,0,Escritório A
0127602-90.2025.8.12.0291,MS,Golpe,14105.26,1,0,0,0,0,0,Escritório B
0128339-86.2025.8.07.0112,DF,Golpe,17603.15,1,1,1,1,1,1,Escritório C
0128687-38.2025.8.11.0195,MT,Genérico,21880.57,1,1,1,0,0,0,Escritório A
0129279-25.2025.8.01.0013,AC,Golpe,18538.49,1,1,1,1,1,1,Escritório B
0129296-22.2025.8.07.0069,DF,Golpe,24932.12,1,1,0,1,1,1,Escritório C
0129604-52.2025.8.21.0042,RS,Golpe,31000,1,0,0,0,1,0,Escritório A
